City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,lazaro cardenas,17.9583,17.9583,85.87,85.87,57,9.48,MX,1694129380
123,iskateley,67.6803,67.6803,44.92,44.92,98,8.81,RU,1694129382
124,seminole,28.7086,28.7086,92.19,83.01,0,12.66,US,1694129380
125,ixtapa,20.7,20.7,86.23,85.23,100,8.05,MX,1694129166
126,petropavlovsk-kamchatsky,53.0452,53.0452,61.39,60.78,75,13.42,RU,1694129383
127,akureyri,65.6835,65.6835,48.13,48.13,75,0.0,IS,1694129384
128,palmer,42.1584,42.1584,86.5,76.32,40,6.91,US,1694129384
129,chonchi,-42.6128,-42.6128,48.11,47.41,81,2.89,CL,1694129385
130,kani keli,-12.9536,-12.9536,74.46,74.46,9,2.1,YT,1694129385
131,kununurra,-15.7667,-15.7667,76.98,76.98,58,4.61,AU,1694129386
132,bayganin,48.6947,48.6947,62.04,62.04,83,5.93,KZ,1694129386
133,hithadhoo,-0.6,-0.6,81.77,81.77,100,8.99,MV,1694129387
134,corbelia,-24.7989,-24.7989,76.35,76.35,100,5.61,BR,1694129387
135,georgetown,5.4112,5.4112,80.53,76.95,20,0.0,MY,1694129377
136,punta arenas,-53.15,-53.15,41.11,41.11,100,4.61,CL,1694129388
137,byron bay,-28.65,-28.65,73.71,73.71,47,13.89,AU,1694129267
138,sao joao da barra,-21.6403,-21.6403,69.89,69.89,78,9.69,BR,1694129161
139,chibougamau,49.9168,49.9168,55.02,55.02,100,8.05,CA,1694129390
140,brady,31.1352,31.1352,105.53,99.25,40,5.75,US,1694129390
141,fisterra,42.9049,42.9049,67.01,66.74,56,9.26,ES,1694129391
142,howard springs,-12.497,-12.497,81.82,79.83,55,0.87,AU,1694129391
143,kone,-21.0595,-21.0595,76.8,76.8,4,5.7,NC,1694129392
144,rafaela,-31.2503,-31.2503,55.98,53.01,57,3.0,AR,1694129392
145,cradock,-32.1642,-32.1642,58.93,58.93,67,3.85,ZA,1694129392
146,richards bay,-28.783,-28.783,63.82,63.82,0,6.44,ZA,1694129394
147,mount gambier,-37.8333,-37.8333,46.69,46.69,100,23.38,AU,1694129394
148,puerto ayora,-0.7393,-0.7393,74.55,74.55,86,3.0,EC,1694129395
149,sanya,18.2431,18.2431,78.96,78.96,40,2.24,CN,1694129395
150,san patricio,28.017,28.017,97.18,88.92,0,15.14,US,1694129396
151,saynshand,44.8824,44.8824,57.13,57.13,24,5.66,MN,1694129396
152,namtsy,62.7161,62.7161,35.51,35.51,75,7.85,RU,1694129397
153,zaltan,32.947,32.947,78.44,78.44,0,9.57,LY,1694129397
154,remire-montjoly,4.9167,4.9167,82.44,82.44,75,3.44,GF,1694129397
155,utrik,11.2278,11.2278,83.23,83.23,53,5.53,MH,1694129398
156,polyarnyy,69.1989,69.1989,46.56,46.56,91,10.16,RU,1694129398
157,port lincoln,-34.7333,-34.7333,51.31,51.31,86,18.61,AU,1694129399
158,portland,45.5234,45.5234,77.94,70.18,40,6.91,US,1694128820
159,mount pearl,47.5166,47.5166,68.95,64.96,100,9.22,CA,1694129400
160,mantua,45.1667,45.1667,69.04,66.06,0,5.03,IT,1694129201
161,thompson,55.7435,55.7435,55.56,55.56,100,0.0,CA,1694129190
162,vytegra,61.0064,61.0064,45.48,45.48,87,3.33,RU,1694129402
163,sitka,57.0531,57.0531,55.29,55.29,100,10.36,US,1694129403
164,senador jose porfirio,-2.5908,-2.5908,82.63,82.63,69,5.66,BR,1694129404
165,lompoc,34.6391,34.6391,76.78,67.59,20,10.36,US,1694129367
166,al kharj,24.155,24.155,90.18,90.18,1,6.78,SA,1694129406
167,piacabucu,-10.4056,-10.4056,71.76,71.76,50,5.46,BR,1694129406
168,beau vallon,-20.4189,-20.4189,70.21,64.63,20,4.61,MU,1694129188
169,avarua,-21.2078,-21.2078,73.45,73.45,75,11.5,CK,1694129407
170,taoudenni,22.6783,22.6783,101.7,101.7,39,19.6,ML,1694129408
171,penzance,50.1186,50.1186,65.08,65.08,84,3.0,GB,1694129114
172,labytnangi,66.6572,66.6572,48.33,48.33,31,3.44,RU,1694129409
173,haimen,23.1935,23.1935,76.89,76.89,100,4.07,CN,1694129410
174,hargeysa,9.56,9.56,73.17,73.17,20,23.87,SO,1694129410
175,rikaze,29.25,29.25,53.31,53.31,89,2.95,CN,1694129411
176,taunsa,30.7048,30.7048,93.76,93.76,0,4.72,PK,1694129412
177,klyuchi,52.2667,52.2667,52.74,52.74,100,0.76,RU,1694129412
178,gribanovskiy,51.4579,51.4579,47.88,47.88,18,7.81,RU,1694129412
179,port-gentil,-0.7193,-0.7193,75.16,75.16,75,12.66,GA,1694129413
180,anna regina,7.2644,7.2644,77.94,77.94,83,3.18,GY,1694129413
181,bogale,16.2833,16.2833,76.32,76.32,100,7.9,MM,1694129414
182,ploudalmezeau,48.5333,48.5333,68.29,66.45,83,1.14,FR,1694129414
183,pokaran,26.9167,26.9167,89.96,89.96,12,7.07,IN,1694129415
184,isangel,-19.55,-19.55,77.11,77.11,40,5.75,VU,1694129415
185,barra de santo antonio,-9.4047,-9.4047,74.48,74.48,36,1.86,BR,1694129416
186,baiyin,36.5583,36.5583,60.33,60.33,100,2.24,CN,1694129290
187,kolonia town,6.964,6.964,87.91,87.91,100,5.75,FM,1694129417
188,bardai,11.65,11.65,73.35,73.35,93,10.04,NG,1694129418
189,corinto,37.9407,37.9407,71.89,71.89,100,5.88,GR,1694129418
190,susuman,62.7833,62.7833,43.09,43.09,100,2.15,RU,1694129420
191,kiama,-34.6833,-34.6833,56.57,55.99,100,10.0,AU,1694129421
192,takoradi,4.8845,4.8845,74.59,74.59,3,4.41,GH,1694129421
193,jand,33.4299,33.4299,88.41,88.41,0,5.03,PK,1694129422
194,igarka,67.4667,67.4667,38.88,38.88,4,5.46,RU,1694129422
195,thunder bay,48.4001,48.4001,55.38,55.31,20,9.22,CA,1694129222
196,pimentel,-6.8367,-6.8367,71.89,71.89,0,17.27,PE,1694129423
197,ishikawa,26.4233,26.4233,83.14,82.35,40,6.91,JP,1694129424
198,saipan,15.1355,15.1355,83.1,83.1,40,12.66,MP,1694129424
199,kosong,38.3788,38.3788,72.09,72.09,0,2.42,KR,1694129425
200,labrador city,52.9463,52.9463,44.51,44.51,100,11.5,CA,1694129409
201,wailua homesteads,22.0669,22.0669,84.13,82.74,0,10.36,US,1694129298
